
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
258,Taylor Davis\davista01,31,PIT,6,.416,163,.400,.000,0.0%,0.0%,16.7%,94.2,40.0%,20.0%,60.0%,20.0%,1.50,0.0%,100.0%,0.0%,0.0,0.0%,0.2
259,Ronnie Dawson\dawsoro01,26,HOU,6,.264,59,.200,.000,0.0%,0.0%,16.7%,87.5,40.0%,0.0%,100.0%,0.0%,,40.0%,40.0%,20.0%,0.0,0.0%,-0.4
260,Yonathan Daza\dazayo01,27,COL,331,.310,76,.346,.073,0.6%,18.1%,6.3%,83.4,27.1%,21.8%,52.8%,21.4%,1.19,20.6%,58.1%,21.4%,-1.3,-0.1%,-7.4
261,Alex De Goti\degotal01,26,HOU,7,.354,122,.500,.000,0.0%,28.6%,14.3%,83.3,25.0%,0.0%,25.0%,75.0%,0.33,0.0%,50.0%,50.0%,0.2,0.1%,1.6
262,Chase De Jong\dejonch01,27,PIT,15,.104,-97,.143,.083,0.0%,33.3%,0.0%,65.8,10.0%,10.0%,40.0%,0.0%,2.00,10.0%,60.0%,30.0%,-0.3,0.0%,-2.9
263,Bryan De La Cruz\delacbr01,24,MIA,219,.343,111,.380,.131,2.3%,24.2%,8.2%,88.4,42.2%,24.5%,49.0%,19.7%,0.96,27.9%,53.1%,19.0%,0.3,0.0%,-3.4
264,Jose De Leon\deleojo03,28,CIN,5,.201,-27,.500,.000,0.0%,40.0%,0.0%,66.0,0.0%,33.3%,33.3%,0.0%,1.00,0.0%,0.0%,100.0%,0.0,0.0%,0.3
265,Austin Dean\deanau01,27,STL,38,.320,100,.300,.167,2.6%,29.0%,15.8%,87.4,33.3%,23.8%,47.6%,23.8%,0.91,23.8%,42.9%,33.3%,0.0,0.0%,0.7
266,Jacob deGrom\degroja01,33,NYM,33,.328,105,.500,.030,0.0%,27.3%,0.0%,79.4,16.7%,33.3%,41.7%,16.7%,0.83,29.2%,50.0%,20.8%,0.1,0.0%,1.3
267,Greg Deichmann\deichgr01,26,CHC,31,.135,-38,.250,.000,0.0%,45.2%,3.2%,82.4,12.5%,18.8%,25.0%,43.8%,0.33,50.0%,25.0%,25.0%,-0.6,0.0%,-5.8
268,Paul DeJong\dejonpa01,27,STL,402,.298,83,.216,.194,4.7%,25.6%,8.7%,86.3,35.3%,19.6%,38.4%,34.5%,0.62,30.6%,54.1%,15.3%,-0.9,-0.6%,-7.9
269,Anthony DeSclafani\desclan01,31,SFG,62,.106,-77,.111,.020,0.0%,53.2%,6.5%,64.2,12.0%,12.0%,32.0%,8.0%,1.00,12.0%,60.0%,28.0%,-1.0,-0.7%,-13.0
270,Delino DeShields\deshide02,28,CIN,58,.353,107,.314,.170,1.7%,19.0%,15.5%,85.3,39.5%,18.4%,42.1%,34.2%,0.80,28.9%,57.9%,13.2%,0.0,-0.2%,0.4
271,Reid Detmers\detmere01,21,LAA,2,.346,117,,.000,0.0%,50.0%,50.0%,,,,,,,,,,0.0,0.0%,-0.4
272,Ross Detwiler\detwiro01,35,TOT,3,.300,79,1.000,.000,0.0%,66.7%,0.0%,96.7,100.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.1
273,Ross Detwiler\detwiro01,35,MIA,3,.300,79,1.000,.000,0.0%,66.7%,0.0%,96.7,100.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.1
274,Jose Devers\deverjo01,21,MIA,46,.275,62,.323,.073,0.0%,23.9%,6.5%,83.7,25.8%,25.8%,48.4%,16.1%,0.94,32.3%,51.6%,16.1%,-0.5,-0.2%,-3.0
275,Rafael Devers\deverra01,24,BOS,664,.373,132,.307,.259,5.7%,21.5%,9.3%,92.7,51.9%,23.9%,41.8%,26.3%,0.72,25.4%,56.9%,17.7%,3.1,3.3%,28.9
276,Aledmys Díaz\diazal02,30,HOU,319,.317,98,.304,.146,2.5%,19.4%,5.0%,88.7,44.8%,29.3%,41.8%,18.5%,0.72,39.7%,50.4%,9.9%,-0.2,0.4%,10.8
277,Elias Diaz\diazel01,30,COL,371,.332,92,.249,.219,4.9%,16.2%,8.1%,87.1,37.6%,24.0%,40.9%,25.4%,0.69,27.6%,54.5%,17.9%,-0.7,-0.5%,-11.0
278,Isan Diaz\diazis01,25,MIA,278,.256,47,.256,.088,1.4%,26.3%,12.2%,88.0,36.5%,22.5%,45.6%,27.8%,0.85,31.2%,50.0%,18.8%,-1.7,-0.6%,-21.4
279,Lewin Diaz\diazle01,24,MIA,128,.289,71,.210,.246,6.3%,25.8%,4.7%,88.3,36.0%,18.0%,32.6%,32.6%,0.48,32.6%,44.9%,22.5%,-0.9,-0.2%,-6.6
280,Miguel Diaz\diazmi02,26,SDP,3,.000,-124,.000,.000,0.0%,33.3%,0.0%,74.5,0.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,-0.2,-0.1%,-1.2
281,Yandy Díaz\diazya01,29,TBR,541,.332,116,.286,.131,2.4%,15.7%,12.8%,89.9,40.5%,19.5%,52.1%,22.9%,1.09,22.7%,56.0%,21.4%,-0.1,-0.2%,10.7
282,Yennsy Díaz\diazye01,24,NYM,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
283,Alex Dickerson\dickeal01,31,SFG,312,.318,92,.273,.187,4.2%,24.4%,7.4%,87.4,38.8%,23.2%,36.7%,29.0%,0.58,35.3%,49.8%,15.0%,-0.4,-0.6%,-2.8
284,Corey Dickerson\dickeco01,32,TOT,365,.312,91,.323,.137,1.6%,18.6%,6.9%,87.8,35.7%,22.7%,49.4%,20.1%,0.98,28.3%,53.2%,18.6%,-0.7,-0.4%,-6.0
285,Corey Dickerson\dickeco01,32,MIA,225,.301,85,.327,.117,0.9%,20.0%,7.1%,86.6,32.9%,24.8%,50.9%,18.0%,1.04,26.1%,55.9%,18.0%,-1.4,-0.8%,-6.9
286,Corey Dickerson\dickeco01,32,TOR,140,.330,101,.317,.168,2.9%,16.4%,6.4%,89.5,39.8%,19.4%,47.2%,23.1%,0.89,31.5%,49.1%,19.4%,0.7,0.4%,0.9
287,Jake Diekman\diekmja01,34,OAK,1,.000,-121,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.6
288,Wilmer Difo\difowi01,29,PIT,240,.323,97,.340,.114,1.7%,22.5%,8.3%,82.4,23.6%,21.7%,43.4%,24.7%,0.80,32.5%,50.6%,16.9%,0.9,-0.2%,3.2
289,Josh Donaldson\donaljo02,35,MIN,543,.354,127,.268,.228,4.8%,21.0%,13.6%,94.1,52.9%,20.5%,43.9%,28.5%,0.78,35.6%,48.4%,16.0%,1.5,0.1%,10.9
290,Ryan Dorow\dorowry01,25,TEX,7,.099,-55,.000,.000,0.0%,42.9%,14.3%,88.5,33.3%,0.0%,33.3%,33.3%,0.50,0.0%,33.3%,66.7%,-0.1,0.0%,-1.6
291,Hunter Dozier\doziehu01,29,KCR,543,.289,75,.276,.179,3.0%,28.4%,7.9%,89.9,42.2%,24.8%,38.3%,27.7%,0.62,27.7%,58.7%,13.6%,-2.5,-1.3%,-26.0
292,Brandon Drury\drurybr01,28,NYM,88,.345,117,.328,.202,4.6%,25.0%,3.4%,89.7,47.5%,19.4%,51.6%,19.4%,1.07,32.3%,58.1%,9.7%,-0.5,-0.5%,1.6
293,Mauricio Dubon\dubonma01,26,SFG,187,.289,72,.282,.137,2.7%,21.9%,4.8%,84.4,30.1%,21.3%,39.7%,27.9%,0.69,27.2%,53.7%,19.1%,-1.0,-0.6%,-9.4
294,Matt Duffy\duffyma01,30,CHC,322,.340,103,.351,.093,1.6%,19.6%,7.8%,87.1,34.8%,30.0%,48.0%,18.1%,0.94,18.1%,54.9%,27.0%,0.4,0.1%,2.0
295,Steven Duggar\duggast01,27,SFG,297,.340,105,.355,.179,2.7%,29.6%,9.1%,87.4,34.1%,25.6%,37.8%,31.7%,0.62,25.7%,59.8%,14.5%,0.2,0.3%,8.3
296,Justin Dunn\dunnju01,25,SEA,3,.411,167,1.000,.333,0.0%,66.7%,0.0%,95.1,100.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.1,0.0%,0.7
297,Dane Dunning\dunnida01,26,TEX,4,.297,80,.500,.000,0.0%,25.0%,0.0%,53.3,33.3%,0.0%,33.3%,0.0%,,0.0%,66.7%,33.3%,0.0,0.0%,-0.4
298,Jon Duplantier\duplajo01,26,ARI,3,.242,40,,.000,0.0%,66.7%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
299,Jarren Duran\duranja01,24,BOS,112,.253,46,.318,.121,1.8%,35.7%,3.6%,88.8,39.7%,23.5%,48.5%,20.6%,0.97,23.5%,55.9%,20.6%,0.0,0.0%,-4.5
300,Adam Duvall\duvalad01,32,TOT,555,.333,98,.260,.263,6.9%,31.4%,6.3%,89.8,43.9%,17.8%,30.7%,40.1%,0.44,35.7%,51.5%,12.9%,0.5,0.0%,15.4
301,Adam Duvall\duvalad01,32,MIA,339,.327,96,.263,.248,6.5%,31.0%,6.2%,90.3,43.9%,18.4%,30.7%,41.0%,0.44,38.7%,48.6%,12.7%,-0.2,-0.5%,9.5
302,Adam Duvall\duvalad01,32,ATL,216,.341,102,.254,.286,7.4%,31.9%,6.5%,88.8,43.8%,16.9%,30.8%,38.5%,0.44,30.8%,56.2%,13.1%,0.7,0.5%,5.9
303,Jarrod Dyson\dysonja01,36,TOT,149,.239,38,.272,.081,0.0%,22.2%,6.7%,78.6,27.4%,23.6%,51.9%,10.4%,1.34,27.4%,60.4%,12.3%,-0.7,-0.1%,-10.0
304,Jarrod Dyson\dysonja01,36,KCR,132,.246,41,.284,.090,0.0%,21.2%,4.6%,77.9,28.6%,23.5%,51.0%,10.2%,1.32,26.5%,61.2%,12.2%,-0.6,-0.1%,-7.6
305,Jarrod Dyson\dysonja01,36,TOR,17,.184,23,.125,.000,0.0%,29.4%,23.5%,87.9,12.5%,25.0%,62.5%,12.5%,1.67,37.5%,50.0%,12.5%,-0.1,-0.1%,-2.5
306,Adam Eaton\eatonad02,32,TOT,288,.271,63,.253,.126,2.1%,24.7%,7.6%,84.4,34.0%,19.1%,49.5%,23.9%,1.07,22.9%,55.3%,21.8%,-0.3,0.1%,-8.4
307,Adam Eaton\eatonad02,32,CHW,219,.286,74,.256,.143,2.3%,25.1%,9.1%,84.6,36.2%,17.4%,52.9%,21.7%,1.24,21.0%,60.1%,18.8%,0.3,0.2%,-0.3
308,Adam Eaton\eatonad02,32,LAA,69,.223,28,.245,.077,1.5%,23.2%,2.9%,83.9,28.0%,24.0%,40.0%,30.0%,0.71,28.0%,42.0%,30.0%,-0.6,-0.1%,-8.0
309,Tommy Edman\edmanto01,26,STL,691,.317,93,.291,.125,1.6%,13.8%,5.5%,87.0,35.3%,24.5%,46.0%,23.7%,0.87,31.3%,54.7%,13.9%,1.4,0.5%,6.2
310,Scott Effross\effrosc01,27,CHC,1,.000,-134,.000,,0.0%,0.0%,0.0%,86.2,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.1
311,Zach Eflin\eflinza01,27,PHI,37,.046,-138,.000,.000,0.0%,40.5%,2.7%,66.2,15.0%,0.0%,50.0%,10.0%,2.50,15.0%,65.0%,20.0%,-0.6,-0.4%,-7.7
312,Jerad Eickhoff\eickhje01,30,NYM,8,.321,99,.400,.000,0.0%,0.0%,0.0%,41.6,0.0%,0.0%,37.5%,0.0%,,0.0%,75.0%,25.0%,-0.1,-0.1%,-0.7
313,Seth Elledge\elledse01,25,STL,2,.000,-127,.000,.000,0.0%,0.0%,0.0%,74.8,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.9
314,Drew Ellis\ellisdr01,25,ARI,83,.231,32,.195,.072,1.2%,32.5%,12.1%,81.8,26.2%,23.8%,33.3%,28.6%,0.50,40.5%,42.9%,16.7%,-1.0,0.0%,-6.4
315,Adam Engel\engelad01,29,CHW,140,.359,122,.279,.244,5.0%,22.1%,7.9%,86.8,37.4%,25.8%,41.9%,22.6%,0.72,31.2%,49.5%,19.4%,0.3,0.3%,2.8
316,Nathan Eovaldi\eovalna01,31,BOS,3,.231,29,.000,.000,0.0%,33.3%,33.3%,70.3,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.1
317,Alcides Escobar\escobal02,34,WSN,349,.330,105,.337,.116,1.2%,16.1%,4.9%,80.4,21.0%,28.8%,42.3%,20.6%,0.77,27.0%,51.7%,21.3%,0.3,0.0%,7.9
318,Eduardo Escobar\escobed01,32,TOT,599,.343,110,.279,.219,4.7%,20.7%,8.0%,86.9,34.6%,23.0%,33.1%,33.6%,0.50,34.7%,48.4%,16.9%,0.2,-0.4%,18.2
319,Eduardo Escobar\escobed01,32,ARI,400,.337,107,.261,.232,5.5%,21.3%,7.3%,87.4,35.3%,22.0%,32.5%,35.3%,0.48,31.8%,52.8%,15.4%,-0.2,-0.5%,11.2
320,Eduardo Escobar\escobed01,32,MIL,199,.354,116,.313,.190,3.0%,19.6%,9.6%,85.8,33.1%,25.0%,34.3%,30.0%,0.52,40.7%,39.3%,20.0%,0.4,0.1%,7.0
321,Thomas Eshelman\eshelto01,27,BAL,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,57.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
322,Santiago Espinal\espinsa01,26,TOR,246,.346,112,.353,.095,0.8%,12.2%,8.9%,84.4,22.8%,26.9%,42.0%,20.2%,0.74,28.0%,49.2%,22.8%,-1.3,-0.7%,-2.3
323,Paolo Espino\espinpa01,34,WSN,33,.177,-12,.333,.000,0.0%,45.5%,0.0%,76.0,22.2%,27.8%,38.9%,11.1%,1.00,22.2%,72.2%,5.6%,-0.6,-0.1%,-6.4
324,Thairo Estrada\estrath01,25,SFG,132,.355,118,.286,.207,5.3%,17.4%,6.8%,85.5,34.7%,18.4%,50.0%,19.4%,1.04,28.6%,51.0%,20.4%,-0.1,0.0%,6.4
325,Phillip Evans\evansph01,28,PIT,247,.292,75,.250,.093,2.0%,21.5%,11.3%,88.3,42.9%,19.9%,56.5%,17.4%,1.30,23.6%,63.4%,13.0%,-1.6,-0.3%,-10.1
326,Stuart Fairchild\faircst01,25,ARI,17,.210,17,.167,.067,0.0%,17.7%,5.9%,81.3,16.7%,25.0%,41.7%,25.0%,0.71,41.7%,50.0%,8.3%,-0.2,0.0%,-1.1
327,Bailey Falter\falteba01,24,PHI,5,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,-0.1%,-1.2
328,Johneshwy Fargas\fargajo01,26,TOT,54,.262,65,.351,.135,0.0%,27.8%,1.9%,80.1,24.3%,18.4%,50.0%,15.8%,1.19,28.9%,50.0%,21.1%,-0.8,-0.3%,-6.5
329,Johneshwy Fargas\fargajo01,26,NYM,22,.338,112,.429,.238,0.0%,31.8%,0.0%,74.1,13.3%,33.3%,33.3%,6.7%,0.56,20.0%,53.3%,26.7%,-0.3,-0.2%,-1.4
330,Johneshwy Fargas\fargajo01,26,CHC,32,.212,33,.304,.065,0.0%,25.0%,3.1%,84.1,31.8%,8.7%,60.9%,21.7%,2.00,34.8%,47.8%,17.4%,-0.5,0.0%,-5.1
331,Jake Faria\fariaja01,27,ARI,3,.415,163,.500,.333,0.0%,33.3%,0.0%,95.7,50.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,0.2
332,Kyle Farmer\farmeky01,30,CIN,529,.320,84,.296,.153,3.0%,18.3%,4.2%,87.1,32.0%,25.3%,40.6%,25.5%,0.69,27.6%,56.4%,16.1%,-0.6,-0.4%,-3.5
333,Erick Fedde\feddeer01,28,WSN,43,.018,-142,.000,.000,0.0%,32.6%,2.3%,67.5,14.3%,7.1%,50.0%,10.7%,2.33,7.1%,60.7%,32.1%,-0.7,-0.1%,-8.6
334,Mario Feliciano\felicma01,22,MIL,1,.696,358,,,0.0%,0.0%,100.0%,,,,,,,,,,0.2,0.1%,0.8
335,Ryan Feltner\feltnry01,24,COL,1,.000,-143,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
336,Junior Fernandez\fernaju01,24,STL,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
337,Derek Fisher\fishede01,27,MIL,8,.309,83,.286,.250,0.0%,12.5%,0.0%,89.4,14.3%,0.0%,71.4%,14.3%,2.50,42.9%,28.6%,28.6%,-0.1,-0.1%,-0.4
338,Jack Flaherty\flaheja01,25,STL,26,.278,66,.100,.176,3.9%,26.9%,19.2%,69.3,28.6%,35.7%,21.4%,7.1%,0.43,7.1%,50.0%,42.9%,-0.2,-0.1%,-0.7
339,Josh Fleming\flemijo01,25,TBR,1,.000,-118,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
340,David Fletcher\fletcda02,27,LAA,665,.276,65,.287,.062,0.3%,9.0%,4.7%,81.5,15.8%,27.1%,47.6%,16.2%,0.94,21.5%,51.0%,27.6%,-1.4,0.2%,-16.4
341,Chris Flexen\flexech01,26,SEA,3,.000,-123,.000,.000,0.0%,0.0%,0.0%,79.5,0.0%,33.3%,0.0%,33.3%,0.00,33.3%,66.7%,0.0%,0.0,0.0%,-0.5
342,Wilmer Flores\florewi01,29,SFG,436,.348,114,.264,.185,4.1%,12.8%,9.4%,88.6,35.5%,22.9%,37.2%,32.1%,0.59,33.3%,53.0%,13.7%,0.0,0.4%,-0.5
343,Estevan Florial\flories01,23,NYY,25,.425,166,.385,.250,4.0%,24.0%,20.0%,89.3,64.3%,28.6%,50.0%,21.4%,1.00,35.7%,42.9%,21.4%,-0.1,-0.1%,0.2
344,Mike Foltynewicz\foltymi01,29,TEX,2,.000,-125,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.6
345,Mike Ford\fordmi01,28,NYY,72,.265,60,.147,.150,4.2%,31.9%,15.3%,90.9,48.6%,16.2%,37.8%,40.5%,0.61,27.0%,62.2%,10.8%,-0.4,-0.2%,-3.7
346,Nick Fortes\forteni01,24,MIA,34,.437,172,.263,.387,11.8%,23.5%,8.8%,91.3,52.2%,17.4%,30.4%,30.4%,0.44,17.4%,69.6%,13.0%,0.2,0.0%,4.1
347,Dexter Fowler\fowlede01,35,LAA,21,.252,43,.357,.000,0.0%,28.6%,4.8%,86.7,42.9%,14.3%,35.7%,42.9%,0.56,42.9%,28.6%,28.6%,-0.2,-0.1%,-1.6
348,Dustin Fowler\fowledu01,26,PIT,46,.204,10,.318,.024,0.0%,43.5%,6.5%,89.5,31.8%,18.2%,40.9%,27.3%,0.69,40.9%,45.5%,13.6%,-0.2,-0.1%,-2.8
349,Jake Fraley\fraleja01,26,SEA,265,.336,111,.265,.159,3.4%,26.8%,17.4%,84.9,33.6%,28.8%,39.0%,27.4%,0.65,32.2%,52.1%,15.8%,0.8,0.6%,8.6
350,Ty France\francty01,26,SEA,650,.360,131,.327,.154,2.8%,16.3%,7.1%,88.5,38.9%,26.5%,46.7%,21.7%,0.88,25.3%,56.9%,17.8%,1.9,0.5%,17.8
351,Maikel Franco\francma02,28,BAL,403,.266,60,.225,.146,2.7%,16.6%,5.0%,88.2,33.9%,21.7%,48.6%,20.8%,0.94,32.9%,54.6%,12.5%,-2.2,-0.3%,-17.1
352,Wander Franco\francwa01,20,TBR,308,.356,133,.311,.174,2.3%,12.0%,7.8%,88.2,37.6%,25.7%,45.3%,22.0%,0.83,27.8%,55.9%,16.3%,1.5,1.2%,14.8
353,Seth Frankoff\frankse01,32,ARI,4,.174,-8,.000,.000,0.0%,50.0%,25.0%,70.4,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-1.2
354,Adam Frazier\fraziad01,29,TOT,639,.342,114,.339,.106,0.8%,10.8%,7.5%,85.0,25.3%,31.3%,41.4%,20.3%,0.72,28.9%,49.8%,21.3%,0.8,0.1%,3.0
355,Adam Frazier\fraziad01,29,PIT,428,.364,128,.359,.124,0.9%,10.8%,8.2%,85.4,26.3%,32.8%,37.0%,22.6%,0.59,29.6%,48.4%,22.0%,1.0,0.3%,9.0
356,Adam Frazier\fraziad01,29,SDP,211,.297,84,.299,.068,0.5%,10.9%,6.2%,84.2,23.4%,28.1%,50.3%,15.8%,1.05,27.5%,52.6%,19.9%,-0.2,-0.2%,-6.0
357,Clint Frazier\frazicl01,26,NYY,218,.290,76,.257,.131,2.3%,29.8%,14.7%,86.9,41.5%,22.9%,45.8%,18.6%,0.84,27.1%,57.6%,15.3%,-0.9,-0.6%,-11.8
358,Todd Frazier\frazito01,35,PIT,40,.210,17,.103,.029,0.0%,15.0%,7.5%,87.5,34.5%,13.8%,48.3%,24.1%,0.93,41.4%,41.4%,17.2%,-0.5,-0.2%,-3.0
359,Kyle Freeland\freelky01,28,COL,40,.218,1,.353,.030,0.0%,42.5%,5.0%,61.1,14.3%,9.5%,19.0%,28.6%,0.50,28.6%,42.9%,28.6%,-0.3,0.0%,-3.2
360,Freddie Freeman\freemfr01,31,ATL,695,.391,137,.321,.203,4.5%,15.4%,12.2%,91.4,46.2%,25.1%,43.2%,29.1%,0.76,27.3%,54.5%,18.2%,3.5,2.4%,42.1
361,Mike Freeman\freemmi01,33,CIN,65,.202,1,.282,.000,0.0%,30.8%,7.7%,79.0,17.9%,23.1%,46.2%,28.2%,0.90,25.6%,51.3%,23.1%,-0.4,-0.2%,-7.0
362,Max Fried\friedma01,27,ATL,67,.290,61,.405,.055,0.0%,26.9%,6.0%,77.2,33.3%,28.9%,42.2%,8.9%,1.12,11.1%,71.1%,17.8%,0.0,-0.1%,-0.6
363,TJ Friedl\friedtj01,25,CIN,36,.340,97,.276,.129,2.8%,5.6%,11.1%,88.1,33.3%,23.3%,30.0%,30.0%,0.43,40.0%,40.0%,20.0%,-0.3,0.0%,-1.1
364,Joshua Fuentes\fuentjo01,28,COL,284,.271,49,.270,.125,2.5%,22.9%,4.2%,85.2,27.5%,18.4%,39.1%,33.3%,0.64,24.8%,53.4%,21.8%,-1.4,-0.2%,-14.6
365,Carson Fulmer\fulmeca01,27,CIN,2,.000,-144,.000,.000,0.0%,0.0%,0.0%,67.4,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4
366,Cam Gallagher\gallaca01,28,KCR,124,.292,75,.293,.080,0.8%,16.1%,6.5%,84.2,27.4%,32.6%,36.8%,20.0%,0.61,28.4%,50.5%,21.1%,-0.1,0.0%,-2.9
367,Zac Gallen\galleza01,25,ARI,42,.200,-14,.429,.063,0.0%,42.9%,2.4%,62.8,34.8%,21.7%,21.7%,0.0%,0.83,4.3%,65.2%,30.4%,-0.6,0.0%,-7.0
368,Joey Gallo\gallojo01,27,TOT,616,.348,118,.246,.259,6.2%,34.6%,18.0%,89.8,45.8%,15.7%,32.9%,35.7%,0.52,35.3%,47.9%,16.8%,0.1,-0.2%,12.5
369,Joey Gallo\gallojo01,27,TEX,388,.374,137,.275,.268,6.4%,32.2%,19.1%,90.2,43.2%,18.4%,35.1%,31.9%,0.57,33.0%,47.6%,19.5%,0.0,-0.2%,17.2
370,Joey Gallo\gallojo01,27,NYY,228,.304,87,.193,.245,5.7%,38.6%,16.2%,89.0,50.5%,10.9%,28.7%,42.6%,0.43,39.6%,48.5%,11.9%,0.1,0.0%,-4.7
371,Freddy Galvis\galvifr01,31,TOT,394,.311,90,.269,.166,3.6%,19.5%,6.9%,85.9,31.7%,22.9%,38.0%,26.4%,0.63,33.5%,52.5%,14.1%,-1.7,-0.4%,-8.8
372,Freddy Galvis\galvifr01,31,BAL,274,.310,91,.290,.165,3.3%,21.2%,6.6%,86.3,32.5%,21.6%,39.2%,25.3%,0.67,30.4%,55.2%,14.4%,-1.7,-0.4%,-8.4
373,Freddy Galvis\galvifr01,31,PHI,120,.312,89,.224,.168,4.2%,15.8%,7.5%,85.0,30.0%,25.6%,35.6%,28.9%,0.55,40.0%,46.7%,13.3%,0.0,-0.1%,-0.4
374,Ben Gamel\gamelbe01,29,TOT,400,.322,101,.329,.141,2.0%,26.3%,12.8%,87.5,36.5%,33.2%,29.0%,29.5%,0.43,30.3%,54.8%,14.9%,-0.3,-0.3%,-4.4
375,Ben Gamel\gamelbe01,29,CLE,17,.195,10,.125,.071,0.0%,35.3%,17.7%,93.4,50.0%,25.0%,37.5%,25.0%,0.60,50.0%,50.0%,0.0%,-0.2,-0.2%,-1.9
376,Ben Gamel\gamelbe01,29,PIT,383,.327,105,.336,.144,2.1%,25.9%,12.5%,87.3,36.1%,33.5%,28.8%,29.6%,0.42,29.6%,54.9%,15.5%,-0.1,-0.1%,-2.5
377,John Gant\gantjo01,28,TOT,18,.000,-214,.000,.000,0.0%,44.4%,0.0%,53.9,10.0%,20.0%,20.0%,0.0%,0.67,0.0%,70.0%,30.0%,-0.4,-0.3%,-4.4
378,John Gant\gantjo01,28,STL,18,.000,-214,.000,.000,0.0%,44.4%,0.0%,53.9,10.0%,20.0%,20.0%,0.0%,0.67,0.0%,70.0%,30.0%,-0.4,-0.3%,-4.4
379,Adolis García\garciad02,28,TEX,622,.321,100,.306,.212,5.0%,31.2%,5.1%,90.8,45.5%,19.7%,42.7%,30.7%,0.75,28.6%,56.3%,15.1%,-0.6,0.5%,-6.1
380,Aramis Garcia\garciar01,28,OAK,94,.250,55,.263,.114,3.2%,29.8%,1.1%,87.5,37.1%,14.5%,53.2%,22.6%,1.22,32.3%,53.2%,14.5%,-0.2,0.0%,-4.9
381,Avisail Garcia\garciav01,30,MIL,515,.357,118,.291,.228,5.6%,23.5%,7.4%,90.4,46.4%,22.0%,48.4%,26.1%,0.94,28.7%,56.2%,15.1%,1.4,1.0%,15.0
382,Jarlin Garcia\garcija04,28,SFG,2,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.5
383,Leury Garcia\garcile02,30,CHW,474,.320,99,.333,.108,1.1%,20.5%,8.7%,84.0,32.6%,21.7%,53.6%,18.7%,1.26,25.9%,57.2%,16.9%,-0.9,-0.7%,-7.2
384,Luis Garcia\garcilu05,24,HOU,6,.000,-127,.000,.000,0.0%,16.7%,0.0%,61.3,0.0%,0.0%,60.0%,0.0%,,20.0%,60.0%,20.0%,-0.2,-0.1%,-1.5
385,Luis Garcia\garcilu04,21,WSN,247,.295,85,.273,.169,2.4%,17.4%,4.5%,86.8,30.7%,23.8%,57.0%,16.1%,1.33,34.2%,50.3%,15.5%,-1.9,-0.2%,-10.8
386,Robel Garcia\garciro02,28,HOU,117,.202,15,.234,.057,0.9%,35.9%,6.8%,85.6,33.3%,16.7%,45.5%,27.3%,0.86,39.4%,51.5%,9.1%,-0.5,-0.4%,-13.6
387,Rony Garcia\garciro03,23,DET,1,.000,-124,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
388,Brett Gardner\gardnbr01,37,NYY,461,.309,89,.269,.140,2.2%,21.7%,13.0%,85.7,33.4%,21.5%,44.0%,21.8%,0.81,26.5%,55.0%,18.5%,0.4,0.2%,-1.5
389,Kyle Garlick\garliky01,29,MIN,107,.316,98,.286,.232,4.7%,29.9%,5.6%,88.4,41.2%,19.1%,38.2%,32.4%,0.62,32.4%,51.5%,16.2%,0.4,0.0%,-3.6
